label,area,centroid-0,centroid-1,eccentricity,perimeter,image_number,treatment,group
2,2.0736,11.25,741.078125,0.916428836822335,5.847350647362942,10,GLU-40min,R326H
3,1.7495999999999998,9.5,672.7592592592592,0.6790071499981873,4.556467529817256,10,GLU-40min,R326H
4,1.9115999999999997,12.305084745762711,589.0169491525423,0.4476680746916246,4.811025971044413,10,GLU-40min,R326H
5,3.3695999999999997,18.41346153846154,643.7980769230769,0.7304079166368396,6.505584412271571,10,GLU-40min,R326H
6,1.8468,30.56140350877193,758.4912280701755,0.6892726282140159,4.705584412271571,10,GLU-40min,R326H
7,0.9395999999999999,42.0,616.6206896551724,0.8159577974955083,3.327350647362942,10,GLU-40min,R326H
8,1.134,77.28571428571429,965.5428571428571,0.9442914423691108,4.438233764908628,10,GLU-40min,R326H
9,1.4256,83.52272727272727,984.5909090909091,0.38577757911893196,4.091025971044414,10,GLU-40min,R326H
10,2.5271999999999997,107.62820512820512,503.78205128205127,0.700898824501779,5.531025971044413,10,GLU-40min,R326H
11,1.7495999999999998,110.03703703703704,311.77777777777777,0.8456075388372806,4.811025971044413,10,GLU-40min,R326H
12,1.3284,110.3170731707317,704.1463414634146,0.5055839081977815,3.7310259710444136,10,GLU-40min,R326H
13,2.6891999999999996,113.24096385542168,462.51807228915663,0.8305328079583298,5.996467529817257,10,GLU-40min,R326H
15,1.1988,114.89189189189189,222.35135135135135,0.2865818577042759,3.6873506473629423,10,GLU-40min,R326H
16,0.9719999999999999,125.06666666666666,12.933333333333334,0.7111579334899265,3.178233764908628,10,GLU-40min,R326H
17,0.5184,126.1875,30.375,0.7861611582758199,2.203675323681471,10,GLU-40min,R326H
18,2.268,133.5,304.9142857142857,0.8055035309382066,5.276467529817256,10,GLU-40min,R326H
19,0.5831999999999999,137.11111111111111,255.44444444444446,0.4880042003142553,2.3527922061357853,10,GLU-40min,R326H
20,4.0176,149.83870967741936,195.44354838709677,0.9135503283787805,8.182051942088828,10,GLU-40min,R326H
21,3.6612,148.93805309734512,446.8053097345133,0.6261255440482807,6.654701294725884,10,GLU-40min,R326H
