treatment,group,image_number,cell_label,cell_area,granule_count,granules_per_area
GLU-40min,R326H,1,71,241.18559999999997,4,0.016584738060647072
GLU-40min,R326H,1,72,136.27439999999999,3,0.022014406227435238
GLU-40min,R326H,1,73,102.54599999999998,0,0.0
GLU-40min,R326H,1,74,157.2048,0,0.0
GLU-40min,R326H,1,75,110.7432,0,0.0
GLU-40min,R326H,1,76,212.83559999999997,0,0.0
GLU-40min,R326H,1,77,159.1488,3,0.018850283508263965
GLU-40min,R326H,1,78,102.4164,0,0.0
GLU-40min,R326H,1,80,243.06479999999996,3,0.012342387708956626
GLU-40min,R326H,1,81,205.8696,3,0.014572331223259773
GLU-40min,R326H,1,82,144.4068,0,0.0
GLU-40min,R326H,1,83,104.94359999999999,0,0.0
GLU-40min,R326H,1,84,171.23399999999998,3,0.017519885069553945
GLU-40min,R326H,1,86,112.5252,0,0.0
GLU-40min,R326H,1,87,125.42039999999999,0,0.0
GLU-40min,R326H,1,88,198.7092,0,0.0
GLU-40min,R326H,1,89,105.98039999999999,0,0.0
GLU-40min,R326H,1,90,157.62599999999998,0,0.0
GLU-40min,R326H,1,91,216.10799999999998,0,0.0
GLU-40min,R326H,1,93,312.30359999999996,3,0.009606037202260878
GLU-40min,R326H,1,94,144.018,1,0.006943576497382272
GLU-40min,R326H,1,95,139.9032,1,0.0071477993355405734
GLU-40min,R326H,1,96,187.04519999999997,3,0.01603890396545862
GLU-40min,R326H,1,97,172.3032,2,0.01160744547982858
GLU-40min,R326H,1,98,158.43599999999998,1,0.006311696836577546
GLU-40min,R326H,1,99,189.378,0,0.0
GLU-40min,R326H,1,100,100.6668,1,0.009933761677136853
GLU-40min,R326H,1,101,196.76519999999996,4,0.020328797978504332
GLU-40min,R326H,1,102,110.7432,0,0.0
GLU-40min,R326H,1,103,146.60999999999999,0,0.0
GLU-40min,R326H,1,104,185.2956,0,0.0
GLU-40min,R326H,2,4,213.80759999999998,3,0.014031306651400606
GLU-40min,R326H,2,5,126.6516,0,0.0
GLU-40min,R326H,2,6,191.16,2,0.010462439840970915
GLU-40min,R326H,2,8,166.50359999999998,0,0.0
GLU-40min,R326H,2,9,242.61119999999997,2,0.008243642502901763
GLU-40min,R326H,2,10,217.2096,1,0.004603848080379505
GLU-40min,R326H,2,11,117.54719999999999,0,0.0
GLU-40min,R326H,2,12,297.6588,7,0.02351685890019042
GLU-40min,R326H,2,13,362.9448,4,0.011020959661083449
GLU-40min,R326H,2,14,131.15519999999998,0,0.0
GLU-40min,R326H,2,15,189.9612,2,0.010528465813018658
GLU-40min,R326H,2,16,262.01879999999994,2,0.007633040071933771
GLU-40min,R326H,2,18,291.0816,2,0.006870925541154096
